,Unnamed: 0,author,title,comment,curriculum,id,year,grade,priority,1947,1948,au_48,au_47
231,288,Толстой А.К.,"Ой, кабы Волга-матушка",,22 РЛ 2 ст,2,1922,7,,0,0,0,0
232,289,Толстой А.К.,Спесь,,22 РЛ 2 ст,2,1922,7,,0,0,0,0
233,290,Толстой А.К.,Трилогия по выбору преподающего,,22 РЛ 2 ст,2,1922,7,,0,0,0,0
234,291,Толстой Л.Н.,Анна Каренина,,22 РЛ 2 ст,2,1922,8,,1,1,1,1
235,292,Толстой Л.Н.,Власть тьмы,,22 РЛ 2 ст,2,1922,8,,0,0,1,1
236,293,Толстой Л.Н.,Война и мир,,22 РЛ 2 ст,2,1922,8,,1,1,1,1
237,294,Толстой Л.Н.,Воскресение,,22 РЛ 2 ст,2,1922,8,,1,1,1,1
238,295,Толстой Л.Н.,Детство. Отрочество. Юность,,22 РЛ 2 ст,2,1922,8,,1,1,1,1
239,296,Толстой Л.Н.,Плоды просвещения,,22 РЛ 2 ст,2,1922,8,,0,0,1,1
240,297,Толстой Л.Н.,Смерть Ивана Ильича,,22 РЛ 2 ст,2,1922,8,,0,0,1,1
241,298,Тургенев И.С.,Дворянское гнездо,,22 РЛ 2 ст,2,1922,7,,1,1,1,1
242,299,Тургенев И.С.,Записки охотника,,22 РЛ 2 ст,2,1922,7,,1,1,1,1
243,300,Тургенев И.С.,Накануне,,22 РЛ 2 ст,2,1922,7,,1,1,1,1
244,301,Тургенев И.С.,Отцы и дети,,22 РЛ 2 ст,2,1922,7,,1,1,1,1
245,302,Тургенев,Стихотворения в прозе,,22 РЛ 2 ст,2,1922,7,,0,0,0,0
246,303,Тургенев И.С.,Рудин,,22 РЛ 2 ст,2,1922,7,,1,1,1,1
247,304,Тютчев Ф.И.,Весенняя гроза,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
248,305,Тютчев Ф.И.,Есть в осени первоначальной,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
249,306,Тютчев Ф.И.,Кончен пир,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
250,307,Тютчев Ф.И.,Последняя любовь,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
251,308,Тютчев Ф.И.,Святая ночь,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
252,309,Тютчев Ф.И.,Фонтан,,22 РЛ 2 ст,2,1922,7,*,0,0,0,0
253,310,Успенский Г.И.,Власть земли,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
254,311,Успенский Г.И.,Нравы Растеряевой улицы,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
255,312,Успенский Г.И.,Разоренье,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
256,313,Фет А.А.,"Еще люблю, еще томлюсь",,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
257,314,Фет А.А.,Как беден наш язык,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
258,315,Фет А.А.,Ласточки,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
259,316,Фет А.А.,Осень,,22 РЛ 2 ст,2,1922,7,*,1,1,0,1
260,317,Фет А.А.,Среди звезд,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
261,318,Фет А.А.,Степь вечером,,22 РЛ 2 ст,2,1922,7,*,0,0,0,1
